page	kind	original	replacement	score	reason	verdict	by	context
85	hyphen_join	Clau- / dius,	Claudius,	96	hyphen at a line break · “Claudius” is in the dictionary	ok	claude	the ninth year of [Claudius,] and others, in the
85	hyphen_join	com- / merce	commerce	96	hyphen at a line break · “commerce” is in the dictionary	ok	claude	means of its extensive [commerce] it had now acquired
85	hyphen_join	in- / habitants	inhabitants	96	hyphen at a line break · “inhabitants” is in the dictionary	ok	claude	was composed of the [inhabitants] of all the nations
85	ocr_confusion	gencrally	generally	92	OCR confusion c→e; “generally” is in the dictionary	ok	claude	apostolic age. It is [generally] believed that St. Mark
85	ocr_confusion	ycar	year	92	OCR confusion c→e; “year” is in the dictionary	ok	claude	others, in the ninth [year] of Claudius, and others,
85	ocr_confusion	supcrintendence.!	superintendence.!	92	OCR confusion c→e; “superintendence” is in the dictionary	ok	claude	church flourish under his [superintendence.!] It will be remembered,
85	ocr_confusion	ecct.	eccl.	92	OCR confusion t→l; “eccl” is in the dictionary	ok	claude	Ecc. Hist. Lib, ii. [eccl.] 5. Gre’ _
100	hyphen_join	emi- / nence.	eminence.	96	hyphen at a line break · “eminence” is in the dictionary	ok	claude	several prelates of great [eminence.] Such intolerance would obscure
100	hyphen_join	Con- / stantine.	Constantine.	96	hyphen at a line break · “Constantine” is in the dictionary	ok	claude	sun than that of [Constantine.] 9. Notwithstanding the assertion
100	hyphen_join	Chris- / tian	Christian	96	hyphen at a line break · “Christian” is in the dictionary	ok	claude	auspices to propagate the [Christian] religion, produced any immediate
100	hyphen_join	con- / cluded,	concluded,	96	hyphen at a line break · “concluded” is in the dictionary	ok	claude	Hence it has been [concluded,] that the Indian church
